token,token_count,file_count
saucegravi,2,2
fillingtbh,1,1
premis,52,52
foodout,1,1
ohoh,2,2
buteven,2,2
giodarno,1,1
croquetasjust,1,1
premix,14,14
semifunni,1,1
bellymi,1,1
styrofoamlik,1,1
hmshould,1,1
peachmi,1,1
talkingempanada,1,1
bluegreenr,1,1
foodour,2,2
ricottaour,1,1
fancyp,9,9
waaaaayyy,2,2
choux,9,8
yangmarin,1,1
combinationat,1,1
butterut,1,1
birdbal,1,1
bostongreat,1,1
skinnier,6,6
oysterslin,1,1
manheur,1,1
beersne,1,1
strongest,33,33
crustand,4,4
rollsbrais,1,1
serranomarin,6,6
flier,4,4
fliet,2,2
butterth,9,9
frockl,1,1
chopt,1,1
boozeinfus,1,1
waffleinterest,1,1
trial,23,23
meatybeefi,1,1
moith,1,1
rosehip,1,1
bkftlot,1,1
triad,1,1
gastronomi,105,93
benenden,1,1
moist,1425,1346
parsleyrosemari,1,1
looksound,1,1
anglic,2,2
surewould,1,1
moish,1,1
choos,249,241
butterso,2,2
hotpolish,1,1
seafoodlobst,2,2
halfpip,9,7
racer,6,3
tribe,9,9
wrongmayb,1,1
beersth,12,12
waitressalso,1,1
peppersdo,1,1
tropez,1,1
premoth,1,1
beersto,1,1
breakast,3,3
ohso,16,16
pmstart,1,1
mehsoci,1,1
martha,23,23
choro,2,1
trict,1,1
serversbus,1,1
sandwichsmok,1,1
insidegril,1,1
trick,256,251
serviceattitud,1,1
hukilau,2,2
bib­upd,1,1
hmmstaff,1,1
kitchenwar,1,1
renovatedexpand,1,1
chose,1173,1073
flick,26,25
douchey,29,29
explainther,1,1
appetito,2,2
veryyi,6,6
bringchicago,1,1
appetitt,1,1
appetitz,2,2
laterflavor,1,1
martin,40,34
chord,6,6
chore,22,22
premovi,3,3
artificialtast,1,1
chompcatfish,1,1
appetiti,1,1
seafoodjad,1,1
showerc,1,1
NUMandkhao,1,1
americaninfluenc,1,1
passoverhanukkah,1,1
downsidetheir,1,1
cilantroit,1,1
rabit,1,1
orangishbrown,1,1
fancov,1,1
roomev,1,1
fancon,1,1
rabid,7,7
hoursat,1,1
cubsdodg,1,1
rabia,5,4
ohto,1,1
encompass,19,19
carrozza,2,2
drippyawesom,1,1
corntini,1,1
needneedless,1,1
provolenta,2,2
wisepastrami,1,1
ohth,4,4
tacosdecentmol,1,1
vibef,1,1
tinto,11,11
potatoesbbq,1,1
brackish,1,1
aromat,80,80
hoursdo,1,1
receivedlook,1,1
defintitley,1,1
vibem,1,1
noncub,1,1
minuteslik,1,1
insans,1,1
trophi,9,9
okchicago,1,1
noncut,1,1
nightshift,1,1
sashimisalmon,1,1
tropic,56,51
contentlast,1,1
foodomg,1,1
trendyhaircut,1,1
dogavocado,1,1
yourselfNUM,4,4
chowderclam,1,1
über,5,5
sheeshgot,1,1
martel,4,4
microban,1,1
marten,1,1
embellish,22,22
microbar,2,2
pepperrub,1,1
baddass,2,2
roomdo,1,1
tinni,4,4
quesada,1,1
foah,1,1
porteralso,1,1
foam,205,185
fingerscocktail,1,1
cgrill,1,1
sisterbesid,1,1
chiefbut,1,1
ohsomuchofeveryth,1,1
leavesbecom,1,1
roomat,5,5
insati,10,10
fatterfood,1,1
roomal,1,1
tequilaNUM,1,1
awwwwwsom,1,1
conventiongo,3,2
bundessert,1,1
foodord,1,1
daystim,1,1
insomniac,2,2
newplac,1,1
chicagolunch,1,1
foodori,1,1
necessarywork,1,1
omgoshnesssss,1,1
recreat,103,102
anglai,5,5
gaucho,1,1
clearuncook,1,1
favorti,3,3
panzo,1,1
amazingyou,4,4
appetizersatmospher,1,1
obsessedsauté,1,1
panze,1,1
kould,1,1
righttheir,1,1
tenderpatata,1,1
protion,4,4
afterwardcom,1,1
pizzatast,2,2
mouthanyway,1,1
delightperhap,1,1
plateveri,1,1
NUMhNUMm,2,2
wingback,1,1
panza,186,165
funkycrazi,1,1
decorexperi,1,1
dupio,1,1
dissapointnow,1,1
topoblamo,2,1
dumbfound,22,22
lightcream,1,1
mostacolli,1,1
favorso,1,1
bolivia,3,3
cherubmerbabi,1,1
fedora,6,6
selfaggrand,1,1
apalousa,1,1
inventoryani,1,1
flippant,8,7
bravasther,1,1
fanfirst,1,1
ofbut,3,3
unregrett,1,1
wheeeww,1,1
cilantroal,1,1
patioparkinglot,1,1
collegau,1,1
foei,1,1
topnotchand,1,1
herlov,1,1
shawti,3,2
cannoliomg,1,1
juicesugar,1,1
minutecraftsteak,1,1
carefulth,1,1
nonbrand,1,1
fogo,6,5
fabulousthough,1,1
midseason,1,1
duper,63,62
casper,1,1
sagria,1,1
nobuesqu,1,1
NUMbrais,2,2
realwheatb,1,1
enteman,1,1
twentysixth,1,1
alriiiight,1,1
kitchenwoo,1,1
beerflavor,1,1
chefscook,1,1
roommi,1,1
foir,5,5
westwood,26,24
hourrud,1,1
elementari,35,35
kours,1,1
pizzettebutternut,1,1
specialgril,2,2
owuld,1,1
cilantroey,1,1
foid,1,1
foie,836,557
usdrink,1,1
collegey,1,1
mostarada,1,1
stuuufff,1,1
foil,109,104
tomatoalso,1,1
roomit,1,1
craftsteakdaili,1,1
hhhhhuuuugggeee,1,1
goingo,1,1
thoroughbr,1,1
puddingbest,1,1
goingw,1,1
maaadd,1,1
vibew,1,1
restaurantespeci,1,1
vibey,2,2
selectioncheap,1,1
heavyNUM,1,1
tastetheir,2,2
wilford,1,1
everthumb,1,1
vakseenNUMtast,2,1
presentedlov,1,1
diningincom,4,4
dupar,4,4
kitchenplus,1,1
grossanoth,2,2
monstrosoti,1,1
goingz,1,1
paoch,1,1
dupag,3,3
burritobulgogi,1,1
visitnow,2,2
bustlingso,1,1
steakdagwood,1,1
oxtailth,2,2
smoquebbqcommanifesto,1,1
microbew,1,1
moneytim,1,1
tinyy,1,1
beersal,1,1
blendmargarita,1,1
drafti,17,15
playpen,1,1
NUMsalsa,1,1
sommervill,1,1
comfortingth,3,3
drafta,1,1
oxtailto,1,1
triggermi,1,1
draggo,1,1
speatzl,1,1
beerthi,3,3
andsuck,1,1
fond,253,251
mignonroast,1,1
nottoof,1,1
fomo,1,1
favorit,12395,10706
potatoesand,3,3
aa,12,12
loveanoth,1,1
ab,6,6
beansawesom,1,1
ac,198,170
panif,1,1
ad,2358,2170
ae,2,2
af,4,4
ag,3,3
ah,229,214
ai,337,318
papardell,15,12
aj,8,7
ak,26,26
al,1259,1088
ao,2,2
panic,28,26
favorif,1,1
ap,31,17
neglectedplac,1,1
aq,1,1
fold,123,115
ar,7,6
goodport,5,5
au,394,340
woodov,1,1
aw,818,754
foli,3,2
ax,1,1
folk,1131,1034
ay,13,13
az,22,21
goodpork,5,5
seafoodshel,1,1
españaa,1,1
loafbumm,1,1
ba,388,159
bb,60,53
refineri,1,1
bc,887,716
wellbrais,2,2
bd,3,1
bf,1612,1134
bg,61,44
rungiv,1,1
bh,12,6
dragit,1,1
bi,117,84
bj,123,109
bk,71,47
emmenthal,23,21
sensationanyway,1,1
bm,6,6
bo,538,295
delapit,1,1
fopd,1,1
bp,15,13
br,4,4
foof,1,1
bs,104,100
riptid,2,1
bt,20,19
hoursto,1,1
bu,16,14
bw,11,11
fool,393,377
shoestr,69,66
roomth,16,16
resistget,1,1
bz,2,2
hoursth,13,13
panel,85,84
hearplac,1,1
foor,1,1
panem,1,1
ca,9950,8976
foot,288,278
cb,27,26
cc,30,25
cd,27,21
ce,5,5
cg,3,3
ch,8,8
lshape,2,2
maaaan,2,2
fonz,2,2
ci,8,8
cj,2,2
ck,2,2
cl,8,5
cm,8,7
cn,1,1
co,147,137
boothsal,1,1
cp,77,57
tinee,1,1
food,71078,46168
bruschettalik,4,4
cs,18,12
ct,29,26
fong,2,2
cv,3,3
partner,516,450
cw,11,10
cx,1,1
cy,2,2
cz,2,2
middayl,1,1
da,140,109
delapid,1,1
db,10,8
dc,133,120
font,18,18
dd,15,15
orderfooddrink,1,1
de,2243,1611
dramafood,1,1
woodth,1,1
df,4,3
dg,1,1
dh,25,18
di,238,211
dj,139,127
fora,10,10
dl,3,2
numberonefriendrecommend,1,1
forb,4,3
dm,2,2
forc,511,488
dn,1,1
ford,14,14
fore,6,6
dp,2,2
dq,14,8
sadnesspork,1,1
dr,92,87
forg,6,6
ds,13,13
dt,36,34
du,223,201
snare,2,2
snarf,3,3
dv,1,1
dw,4,3
chefownerp,1,1
dy,9,9
dz,12,8
snark,7,7
panko,20,19
nicecomfort,1,1
alternativegener,1,1
ea,13,12
lowestpr,2,2
eb,4,4
drinkininthemorn,1,1
ec,9,1
ed,82,66
paprdell,1,1
ee,1,1
ef,90,88
eg,37,37
woodsh,1,1
eh,500,483
woodsi,22,20
fourchees,3,3
ei,1,1
totoal,1,1
ej,3,3
encounteranyway,1,1
dunst,2,2
ek,1,1
el,394,347
hipstertown,1,1
em,376,337
snarl,8,8
easycon,1,1
en,170,161
kitchsi,1,1
eo,1,1
tablescount,3,3
ep,5,5
savorybut,1,1
eq,1,1
er,50,48
trafficjean,1,1
es,18,15
freshtuna,2,2
eu,4,4
ev,13,11
hoursoi,1,1
ew,114,99
ex,87,78
aquat,3,3
ey,3,3
ez,4,4
fa,5,5
addicitng,1,1
fb,25,25
fc,9,8
fd,4,4
fe,7,7
fg,11,10
fh,1,1
fi,7,6
fj,1,1
fk,18,17
yummycon,1,1
mojitoboth,2,2
fl,21,19
fm,2,2
mentallyyum,1,1
fn,31,30
burgertoday,1,1
fo,51,51
fq,28,23
fr,6,6
fs,2,2
foth,1,1
yummythey,1,1
ft,41,34
fu,14,13
oilv,1,1
panit,1,1
fw,2,1
shiiiiiit,1,1
fy,14,14
oily,5,5
oilr,1,1
supremaci,2,2
ga,10,8
interestingmason,1,1
gb,17,17
gc,8,6
gd,17,15
ge,7,6
gf,458,375
gg,20,15
fory,1,1
gi,13,13
