token,token_count,file_count
warnedyour,1,1
flashier,1,1
snacklot,1,1
craftbar,2,2
abrupt,53,52
descriptor,7,7
lotbittersweet,1,1
vinaigrettemarin,1,1
buyingNUM,1,1
clanless,1,1
spokesmanit,1,1
serveramaz,1,1
nonbar,1,1
offbeera,1,1
kosta,2,2
nayti,1,1
coatsth,1,1
starssteak,1,1
starssteam,1,1
dinersdrivein,1,1
chafunkta,1,1
kiddosjust,1,1
ehwwwwww,1,1
intertwin,6,6
rebujito,1,1
misleadingit,1,1
pricedlong,1,1
snowballoon,1,1
chutneycheddar,1,1
flit,1,1
signatureubiquit,1,1
wowzah,1,1
breadit,7,7
wellmargarita,1,1
jambalayaetouffe,1,1
starsapp,1,1
flip,182,178
garland,4,2
deliciouscrispyfluffythick,1,1
eitherholi,1,1
metformin,1,1
feulletin,1,1
shotdrink,1,1
ofan,1,1
breadil,1,1
raviolignocchi,1,1
milenium,2,2
noncasino,4,4
girltwo,1,1
breadic,1,1
adrian,8,7
daysnight,2,2
breadif,2,2
reservationslong,1,1
housefri,1,1
glendon,4,3
foodnah,1,1
parmesanal,1,1
effectivelyident,1,1
lightgot,1,1
brandwid,1,1
veryyyy,2,2
andbest,1,1
housemadehomemad,1,1
dishesfrench,1,1
ownbrew,1,1
cheesefail,1,1
NUMrth,1,1
chickenpesto,2,2
pizzakeep,1,1
beforeaft,6,6
breadoh,1,1
cheeselox,1,1
breadok,1,1
NUMrst,1,1
busserv,1,1
onyum,1,1
barsrestaurantstavern,1,1
kickbox,1,1
wowzer,9,9
chacunchacun,1,1
offp,1,1
getcroquettesoctopus,1,1
bouncerdoor,1,1
yespizza,1,1
offy,1,1
kimchibaconeggspancak,1,1
offf,2,2
homerunlov,1,1
rickbayless,2,2
offa,3,3
quarters,4,4
offb,1,1
slaweveryth,1,1
porkplus,1,1
quarterw,1,1
offi,3,3
better,15731,13286
parkingclean,1,1
restaurantport,1,1
freshground,1,1
minutesodd,1,1
yelpcombizphotosybmk…,2,2
breadmi,1,1
ofev,1,1
adriel,1,1
matzohbal,1,1
adrien,1,1
ofif,3,3
breadth,40,40
salmonspici,1,1
sandwichsoup,3,3
intoreason,1,1
parkinggood,1,1
wpasta,1,1
outstandng,1,1
goodmediocr,2,2
flop,41,40
fanast,7,7
nonsalad,2,2
flor,2,2
flavorfultheir,1,1
breadto,1,1
flow,304,299
hamachitoro,1,1
dummi,18,18
timid,22,22
assuag,7,7
flog,1,1
burgerluckili,1,1
supertoast,1,1
saltineskick,1,1
quartinowher,1,1
helpyou,1,1
dumpl,2469,1856
brickback,1,1
mealexperi,3,3
peller,1,1
pellet,6,6
seger,1,1
dumpr,1,1
justiceth,1,1
otoshi,1,1
shapedcook,1,1
dumpi,22,22
readytoparti,1,1
mnotevenhungri,1,1
pammi,1,1
siwtch,1,1
chivesNUM,1,1
wantamerica,1,1
kristen,4,3
frontour,1,1
drinkscondi,1,1
ofit,3,3
smegma,1,1
darnright,1,1
ofmi,2,2
sandwichandther,1,1
kuirki,1,1
crazylong,1,1
rariti,64,64
sweetconclusionil,1,1
brunchtoday,1,1
housefir,1,1
lpiberico,1,1
timea,2,2
timeb,1,1
adriana,4,3
timed,3,3
baltic,2,2
timei,7,7
tacosalthough,1,1
timej,1,1
timeg,1,1
parradillo,1,1
snaffoo,1,1
timeh,1,1
gNUM,3,2
discretiontrust,1,1
raaat,1,1
whaaaaaat,2,2
crazylook,1,1
parradilla,1,1
lowerwindow,1,1
headinclud,1,1
borsch,1,1
showher,1,1
camotechos,1,1
ofon,1,1
yummybut,1,1
segal,51,44
muggedandgotfoodpoison,1,1
alltimefavorit,2,2
tablesapart,1,1
timer,151,146
timet,1,1
timem,2,2
uberculinari,1,1
timey,18,18
mafiaesqu,1,1
flux,5,5
foodmus,1,1
timew,2,2
flub,5,5
bachelor,76,70
flue,1,1
fluf,4,4
crepinett,20,16
porcini,95,90
bmade,1,1
towerahmaz,1,1
cheeselik,2,2
tideov,1,1
pastramirecommend,1,1
sketch,39,35
cookswaitstaff,1,1
snapperhalibut,1,1
innuendolac,1,1
NUMpmclosehalfoff,1,1
gajillion,7,7
canyumNUM,1,1
straightlet,1,1
semisweet,8,8
huntington,7,7
paradiseth,4,4
ofpp,1,1
irrist,1,1
hourquick,1,1
glendal,18,16
toppingssauc,1,1
curvebal,2,1
winequant,1,1
foeenrag,1,1
yelpcombizphotosbig…it,1,1
beerpro,1,1
rightempanada,1,1
NUMsih,1,1
NUMsif,2,2
quinoaal,1,1
cylindri,1,1
yummybak,1,1
flys,3,3
NUMsit,2,2
goodpric,4,4
clothesit,1,1
wedgelik,1,1
kitchen,3030,2626
talapia,6,6
pierogiesbrais,1,1
beerpop,2,2
youanyway,1,1
perfectlyribey,1,1
buzzi,6,6
palso,1,1
marvin,22,17
mofro,1,1
yumstersyou,1,1
pepperskob,1,1
fanand,1,1
cafeteriabut,1,1
redmond,1,1
eggport,1,1
ofur,1,1
thingsNUM,4,4
counterservic,6,6
craftstor,1,1
minutesnom,1,1
dunde,1,1
foodmov,1,1
friendlybut,1,1
starsaft,4,4
minutesnop,1,1
tagliatellebrittani,1,1
minutesnow,1,1
disappointmac,2,2
scottsdal,8,7
ipand,1,1
airconditioninga,1,1
movingaft,1,1
saltysavori,3,3
sketchiest,2,2
overtout,1,1
wornsmooth,1,1
becauz,1,1
ofth,20,20
acceptablemediocr,1,1
tilli,2,2
latrin,2,2
NUMsee,2,2
applesth,3,3
shnitzelwheich,1,1
wonderfultast,1,1
NUMsea,1,1
ewthey,1,1
insideget,1,1
becaus,2,2
NUMsec,1,1
goodcocktail,2,2
frenchamerican,1,1
portiontend,1,1
attende,14,14
tillo,2,2
kosho,1,1
crostiniour,1,1
nycget,3,3
checkstiff,1,1
ofwa,1,1
galorethank,1,1
alwaysbusi,1,1
halfsiz,10,10
crampedconclus,1,1
arrogantbar,1,1
apetito,1,1
tunapotato,1,1
kristin,14,12
anotherw,1,1
convosthi,1,1
enguera,1,1
marvel,139,136
mediumroast,1,1
bitedrunken,1,1
comradeship,1,1
onyep,1,1
starsacm,1,1
fishfast,1,1
anotheri,1,1
becasu,10,9
bertino,1,1
oyamel,1,1
rebecca,14,11
shrimpm,1,1
shrimpi,10,9
wristbandcheck,1,1
putyourjacketbackon,1,1
notsosubtl,1,1
shrimpa,1,1
lovercrisp,1,1
boothtyp,1,1
vermillion,2,2
omdelici,1,1
pancrea,6,4
momufuku,1,1
fantasticwatch,1,1
greasetran,1,1
greasetrap,1,1
goodprob,1,1
underpromisingoverdeliv,1,1
botherthey,1,1
brinyfresh,1,1
mealfalda,1,1
vodkaish,1,1
NUMsat,1,1
goodprop,1,1
emptywait,1,1
sientom,1,1
getservic,1,1
foodmat,1,1
starsair,1,1
tipanyway,2,2
standwait,1,1
flamedlick,1,1
foodmac,1,1
ipain,1,1
foodmak,1,1
soundabsorb,1,1
NUMsas,1,1
NUMsam,1,1
placeswild,1,1
restaraunt,34,29
shrimmp,1,1
yeeeeeaaaaahhhh,1,1
kosmo,1,1
bombperfect,1,1
meicarrot,1,1
cheesesausag,1,1
casualbathroom,1,1
cornucopia,12,12
topvictoryvictori,1,1
starsaok,1,1
verrrrri,7,7
artific,3,2
ohsoyummyyouwillwanttodrinkit,1,1
touchoveral,5,5
dullcolor,1,1
absorbour,1,1
provencal,1,1
lessbusi,2,2
goodprkg,1,1
beeeeeeyotch,1,1
parmesanif,1,1
poseur,1,1
linecoop,1,1
offputtingdespit,1,1
okayalthough,1,1
anyand,1,1
visitpul,1,1
inscor,1,1
starsand,4,4
morningbut,1,1
trifecta,32,32
environmentdefinit,1,1
yourslunch,1,1
bmari,1,1
tribulani,3,3
tryNUM,2,2
consistentalway,1,1
posess,1,1
foodmeh,1,1
saucespenicillin,1,1
frasier,1,1
shazbot,1,1
onionspepp,2,2
jizoint,1,1
posesi,1,1
tilti,1,1
bakedmash,1,1
ipado,1,1
sumNUM,1,1
gloriouswhowould,1,1
linecook,2,2
shazam,6,6
hypenic,1,1
threadi,1,1
vodkachop,1,1
handdryer,1,1
tastesand,1,1
peopleblueberri,1,1
nonpremium,1,1
gingerbread,15,14
whitetablecloth,1,1
tomoato,7,7
cheesevinaigrett,1,1
overtook,6,6
breakfastenjoy,1,1
waterbesid,1,1
bythebottl,1,1
omikazea,1,1
mealcoffe,1,1
creamyslight,1,1
pleaseanyway,1,1
unstabl,3,3
counterold,1,1
flavorfulsinc,1,1
meappet,1,1
greatwith,4,4
splittingeven,1,1
anticustom,1,1
tomatillohabanero,2,2
perfectnear,1,1
crustless,9,6
beerrel,2,2
buyer,23,23
fulljordan,1,1
beerrev,1,1
semihardcor,1,1
substandard,27,27
justawesom,1,1
beasley,1,1
fancam,1,1
mindyburg,1,1
portionservic,2,2
diappoint,9,9
tastesbud,1,1
barsunday,1,1
deepfor,1,1
bestfeel,1,1
elijah,5,5
journal,5,5
palat,561,538
somtum,1,1
visitout,1,1
comparrison,1,1
sweethaaaaat,1,1
yumwont,1,1
chaterell,3,3
artichokegoat,1,1
minicooki,1,1
treyf,1,1
rotisserri,1,1
balsam,289,276
balsan,1,1
borrow,27,27
tatziki,3,3
seeth,5,5
quinoath,1,1
winetast,1,1
touralinea,1,1
oggl,1,1
keurig,1,1
goreal,1,1
trequ,1,1
meappar,1,1
appreciatedglaz,1,1
yummyand,2,2
hibiscusth,1,1
tremé,1,1
seeuh,1,1
sportsbeer,1,1
journey,177,160
therescopingwait,1,1
palid,1,1
postfight,1,1
muggedstabbedspit,1,1
starambi,3,3
feetwarm,1,1
superbdefinit,1,1
deepfri,83,73
guyscustom,1,1
gentlemenlet,1,1
nondens,1,1
whatallagash,1,1
servicetipslarg,1,1
carlina,3,3
paler,1,1
hambaga,1,1
palet,4,4
cubandrink,1,1
loungemayb,1,1
destress,1,1
standentr,1,1
adipos,1,1
wmelt,2,2
halfyardbad,1,1
remembermayb,1,1
expectedtri,1,1
paleo,17,14
galett,6,4
wchunk,1,1
deligruff,1,1
pitcherful,1,1
oldytimey,1,1
elderberrypineappleprosecco,1,1
okmayb,1,1
fiendish,3,3
pollacklik,1,1
actionimpress,1,1
awayconfisc,1,1
suzanna,1,1
palli,1,1
NUMsso,1,1
samkyups,1,1
attempt,710,671
debrisstyl,1,1
pluspati,1,1
gummydessertnon,1,1
wafflesoveral,1,1
wazuzu,2,1
ibericobeen,1,1
foccacio,4,4
winetapa,1,1
palma,4,4
foccacia,118,94
foodlot,2,2
foodlov,8,8
okmash,1,1
strawberriesblueberriesbanana,1,1
favorless,2,2
deliissshhhhhhh,1,1
goodfella,6,6
fastthi,2,2
headshot,4,4
palin,2,2
customerseri,1,1
comingg,1,1
woodburn,11,11
whcich,1,1
comingc,1,1
comingl,6,6
cheaptomak,1,1
rooftopit,1,1
lesssatisfi,1,1
NUMsps,1,1
serversand,2,2
NUMson,2,2
clubloung,4,4
carefulit,1,1
butterespresso,1,1
memorableafterthoughtforgettableafterthought,1,1
oooooooooohhhhh,1,1
signfor,1,1
expectedthi,1,1
moodbut,1,1
tilal,1,1
dessertsserv,1,1
greateven,5,5
breadcuban,1,1
dumplingsdiscret,1,1
anycas,1,1
foodlud,1,1
croissiant,1,1
tellagio,4,3
certifiedsist,1,1
stillrememberexactlywhatittastedlikeNUM­monthslat,1,1
chilibas,1,1
optiontheir,1,1
bahgillion,1,1
NUMsmi,1,1
oxtailbi,1,1
perogiesspici,1,1
goodsalpicon,1,1
expectedtip,1,1
layfayett,1,1
informationa,1,1
creamword,1,1
starminus,1,1
gribich,1,1
cinequest,1,1
meatballsglad,1,1
beatNUM,1,1
wrosemari,2,2
damenmilwauke,2,2
oversweet,3,3
foodlik,4,4
wmeat,1,1
saidanticip,1,1
exoticish,1,1
pineappleham,1,1
wingstyl,3,1
dropsth,1,1
supernova,4,4
fullband,1,1
friendlyattent,1,1
treed,2,2
lessthan,2,2
takecharg,1,1
howreoh,1,1
terriblepric,1,1
honorif,1,1
seeig,1,1
notsohearthealthi,1,1
aaaawesomenesssss,1,1
prytania,1,1
walllin,1,1
insidegood,3,3
tiramasou,1,1
seein,2,1
pricepric,1,1
abacor,2,2
fanboy,5,4
creampassionfruit,1,1
assthi,1,1
sushiyou,1,1
namedrop,8,8
yummylobst,1,1
dissapointong,1,1
wflour,1,1
delightand,1,1
employeeson,1,1
musselsfri,1,1
xanh,4,2
scallopduck,1,1
childhood,112,106
ambianceatmospher,1,1
yelpcomuserlocalphot…,12,10
drinkingparti,2,2
piledhigh,2,2
gordon,55,47
serverbartenderbottomlin,1,1
helpfulour,1,1
deliveredthey,1,1
sapora,1,1
begreat,2,2
progress,130,128
tradtion,2,2
lunchoveral,1,1
treat,2056,1903
mustnotmiss,1,1
dumba,1,1
cheeseman,1,1
cheesemay,1,1
sproutsmust,1,1
cannolilik,1,1
nycher,1,1
tread,7,7
burgersbest,1,1
curteous,5,5
bothand,1,1
NUMtip,7,7
seedo,1,1
seedi,47,45
nychef,1,1
unauthenticbut,1,1
lakeecho,3,3
NUMthe,200,189
wrooooooong,1,1
koren,17,15
tikin,1,1
sweetschocol,1,1
korea,54,45
valuepark,1,1
NUMths,8,8
halftim,3,2
cladhalfnak,1,1
jampickl,2,2
seeew,5,4
yesyoda,1,1
chiliaft,1,1
fnal,1,1
employeesth,1,1
notkinda,1,1
tastyNUM,1,1
auction,8,8
ultratradit,1,1
pamela,6,5
treck,6,6
uneven,62,60
ohranj,1,1
exceptionmaiz,1,1
sightNUM,1,1
goodvintagey,1,1
stillthat,1,1
tofufriggintast,1,1
allcevichi,1,1
infinitesim,3,3
schoolcash,1,1
lolmoth,1,1
okmahi,1,1
dumbo,2,2
hereeveryth,1,1
tikka,5,4
dumbl,3,3
trend,164,157
creamnuff,1,1
enhancementdessert,1,1
alchohol,4,4
drunkinstead,1,1
preprepar,13,11
capaccio,1,1
impervi,2,2
crustsurpris,1,1
vastth,2,2
orangeybourbon,1,1
tapaspinxtospronounc,1,1
playoff,39,33
theroast,1,1
boozecolor,1,1
ginmorm,1,1
wingstop,2,2
trenn,1,1
forehead,13,13
definitionrecip,1,1
crustedg,1,1
carbcentr,2,2
floorour,1,1
pairingcrispi,1,1
sandwichsoft,1,1
soulsatisfi,3,3
pigblood,1,1
prejud,1,1
asparagusmushroom,1,1
norlean,3,3
NUMtax,3,3
chipwhich,1,1
staralso,1,1
crispiest,13,13
yummyaft,1,1
kickass,51,51
pynchon,1,1
homestyletradit,1,1
chicagocoutur,2,1
selfdelud,1,1
pellagrino,1,1
mugclub,2,1
escort,141,135
juuuiiiicyyyyyyyyyyyyyyyyyyyyyyi,1,1
moderncontemporari,2,2
milkier,1,1
agedashi,9,9
carlito,1,1
anybod,1,1
cheesepulpo,1,1
visitoth,1,1
foodlet,1,1
fyifri,1,1
justdisappoint,1,1
yourselffood,1,1
satisfyingkushi,1,1
rooftopth,2,2
NUMdammit,1,1
palac,952,757
momofukussam,1,1
jealousappal,1,1
yummmmmmmmmmmmmmmmmm,1,1
seemi,1,1
nondeep,6,6
potatochocol,1,1
seemd,2,2
interrogatori,1,1
shysterismpiss,1,1
carolann,1,1
fanbas,1,1
askingalso,1,1
alberginia,1,1
dowtown,1,1
seena,1,1
carnitasgood,1,1
slicedNUM,2,1
unwind,31,30
lettuceonl,1,1
sojourn,5,5
boomnot,1,1
samlucki,1,1
readytogo,1,1
seenn,1,1
gruyèr,8,8
treke,3,3
lessthey,1,1
trekk,47,47
noncar,1,1
martyr,2,2
qualitycost,1,1
snocker,2,2
regretlov,1,1
treme,1,1
somtim,2,2
serfect,1,1
sketti,1,1
gandalf,3,3
ohal,1,1
frederick,1,1
atchafalaya,2,2
seedlik,1,1
ohar,56,54
occheriett,1,1
sayeth,2,1
crustaft,1,1
parksit,1,1
hipyoung,1,1
graciousif,1,1
morefirst,1,1
temporari,22,21
dipfri,1,1
yelpcombizphotoscfwi…pastrami,1,1
zimmerman,6,5
kitchengril,1,1
hermit,1,1
aaesom,1,1
rossioto,1,1
muchador,1,1
wafflesfrench,1,1
fornicatorthat,1,1
tryingtohard,1,1
NUMsalad,2,2
staunch,2,2
flirt,59,54
tokyostyl,1,1
notsolight,1,1
topolabompo,1,1
semifast,1,1
giordanosor,1,1
meatnthre,1,1
quarterback,2,2
britannica,1,1
servicewa,4,4
anotherpesto,1,1
wikipedia,22,21
beersel,2,2
qualitywis,4,4
wowwowtwo,1,1
toppingbread,1,1
oher,1,1
tristamint,1,1
flipr,1,1
mutherfck,1,1
packedlov,1,1
mouthhorchata,1,1
roofbar,1,1
thenspici,1,1
droolsandwich,1,1
ohio,37,36
fling,12,10
bouncersbartendersoveral,1,1
selfmand,1,1
arigato,5,5
latour,1,1
passthrough,1,1
nondin,2,2
crackersnut,1,1
nondip,1,1
beerservic,1,1
balltomato,1,1
NUMppl,9,9
NUMppm,1,1
exoticher,1,1
ohhh,67,67
flint,1,1
slideshow,1,1
deservedaft,1,1
NUMpop,1,1
thoughkitchen,1,1
burgersbeef,1,1
nighthawk,2,2
dessertbread,3,3
treatlamb,1,1
blllaaaaannd,1,1
beersid,1,1
beersif,1,1
forrizzl,1,1
judgmentfor,1,1
advocanaiss,1,1
toppingfre,1,1
dalibtw,1,1
berkeley,36,34
betray,13,13
nonwaistlin,1,1
oysterslet,1,1
dressingcoop,1,1
ohmi,12,12
perbacco,2,2
minutesloc,1,1
itemsgood,1,1
veryth,1,1
girlwel,1,1
NUMpmi,1,1
sushiyup,1,1
mustardsstuf,1,1
ohmm,1,1
deglorifi,1,1
trief,1,1
deepest,7,7
combinational,2,2
peppersal,2,2
outbreak,4,4
herman,1,1
veagan,1,1
peppersan,1,1
minuteslou,1,1
diavologiacomo,1,1
fancya,1,1
giamcomo,1,1
firstbeeh,1,1
koval,6,5
trifl,12,12
appetizz,1,1
ninjalik,3,3
workthi,1,1
choss,1,1
mmmmbuttermak,1,1
compellingth,1,1
gulletnot,1,1
NUMpma,1,1
seventh,6,6
seventi,4,4
