token,token_count,file_count
warnedyour,1,1
upcoffe,1,1
illumin,11,10
craftbar,2,2
abrupt,23,23
barbrothel,1,1
descriptor,4,4
lotbittersweet,1,1
buyingNUM,1,1
stumbl,104,102
serveramaz,1,1
sishi,1,1
avant,1,1
disastr,5,5
nonbar,1,1
blastw,1,1
remax,1,1
blasti,1,1
dinersdrivein,1,1
remak,8,8
breakfastmag,1,1
chafunkta,1,1
bestdar,1,1
setand,1,1
intertwin,3,3
misleadingit,1,1
daaaahnjerr,1,1
flit,1,1
glade,1,1
remad,2,2
breadit,1,1
spectacularsav,1,1
ordersad,1,1
yesireeth,1,1
starsapp,1,1
flip,73,72
excellentgreat,1,1
mozarella,9,7
garland,3,1
toeveryth,1,1
tripgood,1,1
euphor,4,4
serverspleas,1,1
noncasino,4,4
adrian,4,4
salari,2,2
daysnight,1,1
breadif,1,1
gladi,2,2
reservationslong,1,1
housefri,1,1
wrestl,2,2
foodnah,1,1
muscat,1,1
brandwid,1,1
myriad,14,14
andbest,1,1
accecat,1,1
afrodisiaceek,1,1
complimentri,1,1
dishesfrench,1,1
remer,1,1
plisner,1,1
breadoh,1,1
cheeselox,1,1
breadok,1,1
memphi,74,66
onyum,1,1
tabNUM,1,1
avali,1,1
karaag,7,4
complimenton,1,1
goodclos,1,1
wowzer,3,3
salami,56,44
avalu,1,1
underwhel,1,1
offy,1,1
offa,3,3
quarters,1,1
offb,1,1
slaweveryth,1,1
porkplus,1,1
oldtown,1,1
better,5316,4469
parkingclean,1,1
abovecoleslaw,1,1
firstfood,1,1
yelpcombizphotosybmk…,2,2
hellman,1,1
breadmi,1,1
jeanni,1,1
matzohbal,1,1
adrien,1,1
ofif,1,1
breadth,16,16
salmonspici,1,1
cordiala,1,1
sandwichsoup,1,1
manjar,1,1
loveee,6,6
goodmediocr,2,2
flop,10,10
fanast,2,2
chilld,1,1
todawesom,1,1
flow,95,94
chilli,125,112
hamachitoro,1,1
dummi,7,7
lobsterdamn,1,1
wowjust,2,2
timid,10,10
assuag,4,4
remix,10,10
dumpl,2289,1709
mealexperi,1,1
pellet,1,1
seger,1,1
saturdayand,1,1
footag,5,5
otoshi,1,1
dumpi,11,11
convenientth,1,1
pammi,1,1
avail,659,606
siwtch,1,1
wasabipea,1,1
wantamerica,1,1
frontour,1,1
networktravel,1,1
sissi,5,3
ofit,2,2
tenderloin,115,94
smegma,1,1
mmmchocolatey,1,1
darnright,1,1
remot,53,52
sandwichandther,1,1
crazylong,1,1
triedtostada,1,1
rariti,15,15
sweetconclusionil,1,1
brunchtoday,1,1
menudefinit,2,2
cookiespastri,1,1
geriatr,4,4
existenti,1,1
pigeon,3,3
adriana,3,2
timed,1,1
itmay,1,1
baltic,1,1
shockingport,1,1
tacosalthough,1,1
timei,1,1
salmonravoli,1,1
chilit,1,1
dessertliz,1,1
timeg,1,1
parradillo,1,1
snaffoo,1,1
sneaki,8,8
gNUM,3,2
itman,1,1
convenientmi,1,1
dessertlik,1,1
itmak,1,1
legandari,1,1
parradilla,1,1
chilid,1,1
headinclud,1,1
mallairport,1,1
camotechos,1,1
reubenit,2,2
segal,50,43
salada,1,1
bagelspizzaar,1,1
soulless,2,2
porport,1,1
alltimefavorit,1,1
guacamoleour,1,1
saladi,3,3
blindfold,7,7
saladw,1,1
timer,53,53
timem,2,2
saladr,4,4
timey,3,3
mafiaesqu,1,1
flux,3,3
itduck,1,1
foodmus,1,1
timew,1,1
flub,3,3
bachelor,19,17
fluf,2,2
peachesi,1,1
porcini,5,5
bmade,1,1
witter,1,1
towerahmaz,1,1
tideov,1,1
pastramirecommend,1,1
sketch,27,23
snapperhalibut,1,1
eatibl,1,1
yeslobst,1,1
teresa,1,1
sliderdont,1,1
redish,1,1
kumquat,6,4
cutor,1,1
gajillion,2,2
canyumNUM,1,1
goodclam,1,1
semisweet,3,3
huntington,3,3
paradiseth,4,4
ofpp,1,1
cantaloup,21,19
freewithvalid,1,1
glendal,10,10
schpiel,2,2
dressingssauc,1,1
biggenheim,1,1
yelpcombizphotosbig…it,1,1
NUMcrabcak,1,1
NUMsih,1,1
NUMsif,1,1
excellentyou,2,2
camperth,1,1
giulana,2,2
flys,1,1
goodpric,4,4
resturantdinn,1,1
reloc,9,9
weekendsther,1,1
kitchen,785,697
talapia,5,5
pierogiesbrais,1,1
saltysour,1,1
camperso,1,1
youanyway,1,1
icecreamthai,1,1
perfectlyribey,1,1
chorizosundri,1,1
marvin,2,2
mofro,1,1
dessertlov,1,1
pepperskob,1,1
fanand,1,1
redmond,1,1
thingsNUM,1,1
karaok,7,6
counterservic,1,1
caucasian,14,10
foodmov,1,1
friendNUM,1,1
friendlybut,1,1
joynt,2,1
glare,18,18
starsaft,4,4
budget,101,99
minutesnow,1,1
glass,1097,928
aaaurghhh,1,1
antithesi,3,3
disappointmac,2,2
scottsdal,2,2
brigit,1,1
afterparti,2,1
sketchiest,2,2
wornsmooth,1,1
ssam,1,1
empanadaswasabi,1,1
ofth,10,10
acceptablemediocr,1,1
tilli,1,1
latrin,1,1
NUMsee,1,1
tampenad,2,2
julienn,5,5
shnitzelwheich,1,1
swissmushroom,1,1
NUMsea,1,1
ewthey,1,1
becaus,1,1
progeni,1,1
kramer,5,5
frenchamerican,1,1
portiontend,1,1
attende,4,4
tillo,2,2
kosho,1,1
drinksdessert,2,2
nycget,2,2
topfin,1,1
cringeinduc,1,1
postvac,1,1
galorethank,1,1
topfiv,1,1
alwaysbusi,1,1
crampedconclus,1,1
kristin,8,7
convosthi,1,1
cristian,1,1
stylist,1,1
earliest,10,10
hoghead,1,1
noncustom,1,1
stylish,47,45
marvel,40,39
bitedrunken,1,1
NUMcabbag,1,1
fishfast,1,1
becasu,2,2
rebecca,2,2
shrimpm,1,1
funnel,8,8
shrimpi,2,2
uspancetta,1,1
gland,4,4
glanc,73,73
itglass,1,1
lovercrisp,1,1
boothtyp,1,1
omdelici,1,1
pancrea,3,3
betteroveral,4,4
thaiNUM,1,1
footsi,1,1
greasetrap,1,1
rigamarol,1,1
wretch,5,5
NUMsat,1,1
psychot,4,4
ahmayz,5,5
memori,237,224
floweri,5,5
starsair,1,1
stuffour,2,2
tipanyway,1,1
flamedlick,1,1
joyth,1,1
bright,178,172
foodmak,1,1
shamrock,1,1
soundabsorb,1,1
NUMsas,1,1
restaraunt,16,15
gracious,92,91
NUMoNUM,1,1
yeeeeeaaaaahhhh,1,1
kosmo,1,1
vegasbehold,1,1
bombperfect,1,1
meicarrot,1,1
frazzl,10,10
joyva,1,1
cornucopia,4,4
verrrrri,3,3
artific,2,1
ohsoyummyyouwillwanttodrinkit,1,1
topwith,1,1
forktend,4,4
touchoveral,2,2
ssNUM,2,1
manila,1,1
unenthusiat,1,1
toolacademi,1,1
absorbour,1,1
croquemonsieur,1,1
slawcol,1,1
goodprkg,1,1
beeeeeeyotch,1,1
whaattt,1,1
linecoop,1,1
NUMsknown,1,1
okayalthough,1,1
reconcil,4,4
trifecta,14,14
euphem,2,2
bmari,1,1
syrupNUM,3,2
tryNUM,1,1
consistentalway,1,1
cuter,4,4
frasier,1,1
coverenjoy,1,1
gingergarlicki,1,1
onionspepp,2,2
posesi,1,1
bakedmash,1,1
cutes,1,1
psychic,3,3
sumNUM,1,1
shrinkag,1,1
eggystrang,1,1
vodkachop,1,1
crescendo,1,1
sheeshyuck,1,1
peopleblueberri,1,1
gingerbread,3,3
refridger,2,2
overtook,1,1
negihama,2,2
breakfastenjoy,1,1
waterbesid,1,1
spectacularrec,1,1
itmor,1,1
campergo,1,1
bythebottl,1,1
omikazea,1,1
awesom,3118,2760
lolif,2,2
pairingsfor,1,1
ordertak,1,1
siren,4,4
pumpki,1,1
NUMwhen,2,2
unstabl,1,1
flavorfulsinc,1,1
greatwith,1,1
anticustom,1,1
kreploch,3,2
vegasit,3,3
crustless,1,1
buyer,8,8
vegasim,1,1
substandard,6,6
justawesom,1,1
fishshel,1,1
mindyburg,1,1
sentenc,28,26
diappoint,4,4
pumpin,2,2
elijah,2,2
journal,1,1
smitti,2,2
palat,174,170
somtum,1,1
visitout,1,1
comparrison,1,1
squabbl,1,1
yumwont,1,1
crispychar,1,1
everimprecis,1,1
rememberedcheck,1,1
minicooki,1,1
friendclient,1,1
treyf,1,1
okaynothin,1,1
blueverri,1,1
balsam,71,68
balsan,1,1
rraaaaahhhh,1,1
itlin,1,1
borrow,10,10
reviewbefor,1,1
itlik,1,1
tatziki,1,1
lolmi,2,2
seeth,1,1
oggl,1,1
keurig,1,1
NUMwhat,1,1
releg,7,7
baba,6,4
trequ,1,1
meappar,1,1
appreciatedglaz,1,1
shrimpspanish,1,1
lolli,2,1
ribstru,1,1
seeuh,1,1
journey,51,46
boothtabl,2,2
ribstri,1,1
midseptemb,1,1
muggedstabbedspit,1,1
starambi,1,1
lacheer,1,1
porklamb,1,1
vegasmi,1,1
droolgener,1,1
pasteur,1,1
orderalso,1,1
deepfri,30,23
etceveryth,1,1
pasteri,4,4
lolol,1,1
lawdddd,1,1
lolof,1,1
back,10625,8660
whatallagash,1,1
servicetipslarg,1,1
restaurantchip,1,1
badd,1,1
hambaga,1,1
greatbut,8,8
palet,3,3
bada,3,3
steeeeaaaaak,1,1
thoughchowd,1,1
adipos,1,1
wmelt,2,2
remembermayb,1,1
techniqueservicemenu,1,1
expectedtri,1,1
paleo,6,5
setbut,1,1
measleys,1,1
galett,1,1
walkerspenc,1,1
shoboo,1,1
relax,290,278
babk,1,1
relay,3,3
babi,857,718
babe,8,7
deligruff,1,1
itlet,1,1
relal,1,1
elderberrypineappleprosecco,1,1
accomodatingonc,1,1
lacheck,1,1
relat,319,313
actionimpress,1,1
suzanna,1,1
palli,1,1
notcooki,1,1
okarriv,1,1
relic,6,6
attempt,231,216
pluspati,1,1
wafflesoveral,1,1
busylocationambi,1,1
curti,4,2
wazuzu,2,1
fishsushisashimi,1,1
maniaa,1,1
badi,1,1
badg,6,6
schwartz,5,5
palma,4,4
anythingthi,1,1
maniac,3,3
foccacia,2,2
bagu,1,1
foodlov,2,2
strawberriesblueberriesbanana,1,1
thebuckwheatercombigs…oh,1,1
bagl,2,2
favorless,1,1
cutanddri,1,1
goodfella,3,3
headshot,1,1
curvi,3,3
lolth,9,9
customerseri,1,1
pavement,1,1
woodburn,3,3
whcich,1,1
breweri,11,10
barwick,1,1
comingl,2,2
cheaptomak,1,1
deerfield,1,1
comNUM…first,1,1
lesssatisfi,1,1
relev,9,8
relet,1,1
NUMson,2,2
sirit,1,1
bait,3,3
clubloung,3,3
bail,8,8
outoftow,1,1
expectedthi,1,1
moodbut,1,1
tilal,1,1
baja,42,36
moroccon,2,2
farservic,2,2
greateven,2,2
lackadais,3,3
dumplingsdiscret,1,1
toopricey,1,1
starkanpachi,1,1
boneth,2,2
sorbet,129,105
tellagio,1,1
certifiedsist,1,1
declinedchef,1,1
bahgillion,1,1
perogiesspici,1,1
grilledsmok,1,1
bako,1,1
redicul,6,6
balk,5,5
ball,1047,769
bali,1,1
bale,2,1
bald,14,14
curri,1044,682
outdessert,1,1
pigdon,1,1
memorabiliaif,1,1
clubhous,1,1
creamtot,1,1
chiken,1,1
vegasth,4,4
throughoutNUM,2,1
reliv,12,12
unflinchin,1,1
bake,821,718
beatNUM,1,1
damenmilwauke,1,1
presentedpric,1,1
oversweet,1,1
foodlik,2,2
saidanticip,1,1
exoticish,1,1
schwarma,2,2
frenchi,3,3
ungraci,1,1
ordertri,1,1
bank,100,99
theyelp,1,1
supernova,2,2
buttahhh,1,1
unsatisfi,38,37
bang,119,115
banh,3,2
postwed,1,1
bane,1,1
band,102,86
eithernow,1,1
greatcam,1,1
howreoh,1,1
terriblepric,1,1
bamm,1,1
seeig,1,1
aaaawesomenesssss,1,1
walllin,1,1
abacor,1,1
sushiyou,1,1
namedrop,4,4
yummylobst,1,1
mmmmmmclam,1,1
delightand,1,1
spillilng,1,1
dinnerkal,1,1
scallopduck,1,1
stat,11,11
star,6067,4357
childhood,44,43
yelpcomuserlocalphot…,3,3
piledhigh,1,1
gordon,3,3
dealtri,1,1
stay,762,733
staf,35,33
mustseemustdo,1,1
stab,33,32
sapora,1,1
stan,4,4
chinmama,1,1
coventur,1,1
progress,47,46
rollercoast,1,1
bara,4,4
barb,2,1
treat,782,720
gotedamam,1,1
cheeseman,1,1
hexagon,1,1
cusin,4,4
baqu,1,1
theNUM,3,3
barq,4,3
barr,2,2
nycher,1,1
tread,2,2
barp,1,1
curteous,3,3
barn,11,11
bark,45,38
gooberi,1,1
bari,3,3
NUMtip,5,5
barg,1,1
bare,482,461
seedi,42,41
barf,8,8
nychef,1,1
unauthenticbut,1,1
barc,1,1
endors,23,23
shitbut,1,1
stumpl,1,1
lakeecho,2,2
NUMthe,73,73
cushi,2,2
wrooooooong,1,1
koren,2,1
macaron,8,8
keywesti,1,1
korea,40,33
valuepark,1,1
halftim,3,2
NUMths,2,2
creamtyp,1,1
cladhalfnak,1,1
colombian,1,1
seeew,5,4
yesyoda,1,1
minfood,1,1
stfu,5,5
wentjust,1,1
mexicanish,1,1
bast,9,9
auction,5,5
admit,424,416
ultratradit,1,1
admir,40,40
pamela,1,1
treck,2,2
uneven,21,21
ohranj,1,1
bath,55,53
sightNUM,1,1
basa,6,6
stew,155,129
barw,6,6
allcevichi,1,1
ohsofreshlov,1,1
chowdown,1,1
bass,298,244
okmahi,1,1
stef,2,2
tikka,1,1
bask,17,17
bash,18,16
step,328,308
basi,96,93
dumbl,3,3
base,880,812
stem,13,13
trend,56,53
creamnuff,1,1
stif,2,2
lolal,1,1
serverservic,2,2
alchohol,2,2
removemodifi,1,1
drunkinstead,1,1
preprepar,4,3
manhol,3,3
littleneck,40,36
striptheir,1,1
impervi,1,1
bonfir,1,1
beforeafterdur,1,1
sthe,23,23
orangeybourbon,1,1
missionari,1,1
afternoonhappi,1,1
goodqualitysushi,1,1
priceless,12,12
mezcalpineapplejalapeno,1,1
upbathroom,1,1
wingstop,2,2
stgo,1,1
trenn,1,1
gumboseem,1,1
eitherneg,1,1
topeka,1,1
existenet,1,1
forehead,9,9
tagteam,1,1
saharadefinit,1,1
pairingcrispi,1,1
sandwichsoft,1,1
norlean,1,1
NUMtax,2,2
specialtyor,1,1
crispiest,6,6
stil,7,7
kickass,16,16
cranberriesyum,1,1
homestyletradit,1,1
pellagrino,1,1
nonexistantth,1,1
stir,84,78
stip,1,1
barwith,1,1
escort,50,47
moderncontemporari,1,1
claussen,2,2
carlito,1,1
agedashi,4,4
foodlet,1,1
fyifri,1,1
potatobas,1,1
cameleon,1,1
heavyhitt,1,1
satisfyingkushi,1,1
palac,99,90
yummmmmmmmmmmmmmmmmm,1,1
seemd,1,1
loldo,1,1
interrogatori,1,1
tostadaget,1,1
itlov,2,2
askingalso,1,1
carnitasgood,1,1
burgercraz,1,1
itloc,1,1
slicedNUM,2,1
unwind,2,2
lettuceonl,1,1
sojourn,3,3
greatcom,1,1
greatcon,2,2
lolgo,1,1
raviolith,3,3
gruyèr,5,5
treke,2,2
supercrowd,2,2
trekk,19,19
martyr,1,1
snocker,1,1
stephen,15,15
moroccan,12,11
thenthey,1,1
serfect,1,1
sketti,1,1
ohal,1,1
orderthi,1,1
NUMambianc,11,11
uproot,1,1
chiligood,1,1
ohar,16,16
occheriett,1,1
splitcrispi,1,1
hipyoung,1,1
temporari,7,7
dipfri,1,1
sanctuari,1,1
flirtati,4,3
looov,11,11
panzapork,1,1
yelpcombizphotoscfwi…pastrami,1,1
zimmerman,3,3
counterregist,1,1
coliti,1,1
undergoodlast,1,1
loong,3,3
itord,2,2
greatand,7,7
NUMsalad,1,1
stop,1976,1813
flirt,19,18
tokyostyl,1,1
notsolight,1,1
semifast,1,1
themcheer,1,1
mouthsashimi,1,1
quarterback,1,1
britannica,1,1
bitesautumn,1,1
chorizzo,1,1
servicewa,1,1
anotherpesto,1,1
sashimigasm,1,1
wikipedia,4,4
afficianado,1,1
loopi,3,3
NUMnoon,2,2
munster,3,3
qualitywis,2,2
syrupbreakfast,1,1
stri,1,1
tristamint,1,1
flipr,1,1
mutherfck,1,1
packedlov,1,1
superjazz,1,1
mouthhorchata,1,1
finishingstil,1,1
stuf,977,878
thenspici,1,1
stud,10,10
ordinaryif,1,1
ohio,11,11
stun,91,89
fling,1,1
selfmand,1,1
topcut,1,1
arigato,4,4
stub,7,7
nondip,1,1
quentin,5,5
NUMppl,3,3
ohhh,29,29
smōk,1,1
NUMnois,1,1
deliciousalbeitchickenlesschickennoodl,1,1
dissapointedit,1,1
flint,1,1
whaaaaat,2,2
NUMpop,1,1
betterlast,1,1
blllaaaaannd,1,1
judgmentfor,1,1
dammit,21,19
squishypay,1,1
vintagey,2,2
toppingfre,1,1
berkeley,5,4
notingpr,1,1
summbitc,1,1
ikura,28,20
betray,6,6
nonwaistlin,1,1
deliciouscochon,1,1
oysterslet,1,1
dressingcoop,1,1
ohmi,3,3
belowbanana,1,1
marshmallowmeringu,1,1
perbacco,1,1
itemsgood,1,1
veryth,1,1
girlwel,1,1
sushiyup,1,1
mustardsstuf,1,1
eyesrollingbackinmyhead,1,1
eloqu,2,2
deepest,1,1
combinational,1,1
peppersal,1,1
outbreak,1,1
herman,1,1
macarth,2,2
stye,2,2
gunkanmaki,1,1
waaaahhh,1,1
glasswar,7,7
trifl,2,2
ninjalik,2,2
workthi,1,1
mmmmbuttermak,1,1
yearandahalf,2,1
seventh,4,4
housewivesstay,1,1
netpun,1,1
seventi,4,4
characterist,13,13
fillingtbh,1,1
premis,21,21
foodout,1,1
sodaminer,1,1
ohoh,2,2
peyton,1,1
premix,4,4
peachmi,1,1
tecat,51,48
amiss,4,4
NUMportillo,1,1
amish,4,4
foodour,1,1
ricottaour,1,1
fancyp,2,2
seatingcomfort,1,1
dissick,1,1
yangmarin,1,1
combinationat,1,1
bostongreat,1,1
skinnier,2,2
beersne,1,1
strongest,9,9
rollsbrais,1,1
flier,1,1
spinach,714,615
bdessert,1,1
fliet,1,1
butterth,4,4
señor,1,1
frockl,1,1
spinacn,1,1
waffleinterest,1,1
trial,7,7
buddha,478,355
triad,1,1
gastronomi,5,5
besttttttttttttttt,1,1
moist,688,642
motley,3,3
couldat,1,1
elong,1,1
looksound,1,1
anglic,1,1
moish,1,1
choos,69,68
buddig,2,1
butterso,1,1
hotpolish,1,1
seafoodlobst,1,1
racer,1,1
tribe,2,2
beersth,1,1
peppersdo,1,1
tropez,1,1
buddhu,1,1
hollandis,3,2
breakast,1,1
ohso,6,6
pmstart,1,1
mehsoci,1,1
martha,15,15
massiveth,1,1
boooottyyyyyyyyyyi,1,1
craveworthi,4,4
trick,78,77
plaudit,1,1
scaveng,3,3
bib­upd,1,1
chose,392,361
douchey,7,7
flick,4,4
dinnermak,1,1
nightchasten,1,1
explainther,1,1
frambois,1,1
funour,1,1
veryyi,2,2
bringchicago,1,1
appetitt,1,1
barwhen,1,1
cubicl,1,1
sheffield,1,1
appetitz,2,2
hungrybut,1,1
funoth,1,1
martin,15,14
chord,2,2
chore,5,5
questionsth,1,1
appetiti,1,1
seafoodjad,1,1
showerc,1,1
subt,19,19
NUMandkhao,1,1
everythingNUM,3,2
passoverhanukkah,1,1
downsidetheir,1,1
orangishbrown,1,1
fancov,1,1
sube,1,1
subl,1,1
ricechines,1,1
dessertstanton,1,1
rabia,5,4
longasswait,1,1
encompass,7,7
suav,5,5
theymselv,1,1
bestest,7,4
carrozza,2,2
remain,143,138
hmmmmmmmmmmmmmm,1,1
funtast,1,1
needneedless,1,1
suac,1,1
easypeasi,1,1
nutritionist,1,1
provolenta,2,2
wisepastrami,1,1
overpaid,1,1
ohth,3,3
pancakesomg,1,1
tacosdecentmol,1,1
tinto,1,1
aromat,24,24
defintitley,1,1
noncub,1,1
authentictip,1,1
trophi,4,4
bbqs,4,3
bbqt,1,1
noncut,1,1
sashimisalmon,1,1
tropic,12,12
contentlast,1,1
greatchocol,1,1
foodomg,1,1
greatbad,1,1
barwhil,1,1
fonduta,2,2
partyingcant,1,1
yourselfNUM,2,2
itpay,1,1
chowderclam,1,1
über,2,2
platefrench,1,1
martel,4,4
bbqm,1,1
spinash,1,1
fonduto,1,1
marten,1,1
embellish,11,11
succ,1,1
bbqi,4,4
pepperrub,1,1
luchch,1,1
baddass,1,1
allfam,1,1
suck,537,490
deligasm,1,1
menutrust,1,1
tinni,1,1
foam,76,72
fingerscocktail,1,1
ponzus,1,1
positivesbyob,1,1
restaurantNUM,5,5
chiefbut,1,1
ohsomuchofeveryth,1,1
insati,4,4
mustanoth,1,1
roomal,1,1
suey,4,3
prototyp,4,4
tequilaNUM,1,1
morethangener,1,1
awwwwwsom,1,1
conventiongo,1,1
perfectlyseason,2,2
museum,33,30
daystim,1,1
insomniac,2,2
sued,1,1
tacosthi,3,3
recreat,21,21
favorti,1,1
panzo,1,1
lowbrow,2,2
amazingyou,1,1
himfor,1,1
wrongand,1,1
obsessedsauté,1,1
drysauc,1,1
righttheir,1,1
protion,3,3
afterwardcom,1,1
NUMhNUMm,1,1
wonderfulrpm,1,1
panza,162,142
decorexperi,1,1
dupio,1,1
dumbfound,13,13
remakr,1,1
mostacolli,1,1
houroveral,1,1
blowingmilk,1,1
favorso,1,1
bbut,1,1
urban,44,41
bolivia,2,2
servicedoor,1,1
cherubmerbabi,1,1
fedora,1,1
israel,1,1
apalousa,1,1
departmental,1,1
beefNUM,3,3
gueststh,1,1
spectacularseri,1,1
hellova,1,1
sugo,2,2
valuepr,1,1
flippant,6,5
valuemi,1,1
moviestv,1,1
estrang,1,1
wheeeww,1,1
loogi,1,1
cilantroal,1,1
starbystar,1,1
patioparkinglot,1,1
onecold,1,1
reseyunfriend,1,1
herbsait,1,1
suji,1,1
cheeksjumbo,1,1
spanishchees,1,1
herlov,1,1
nonpretenti,5,5
vibanana,1,1
parkingcant,1,1
whilecharm,1,1
suit,128,125
allevi,6,6
turnstyl,1,1
fogo,1,1
wellflavoredif,1,1
remant,1,1
clueless,21,18
picklesnow,1,1
couldnt,79,72
duper,20,20
obsecen,1,1
nobuesqu,1,1
sulk,1,1
chiacgo,1,1
enteman,1,1
alriiiight,1,1
pierogiesfrench,5,5
nobut,1,1
tornado,3,2
bonein,21,20
eggless,7,7
cobblerboth,1,1
beamerat,1,1
suki,2,2
overpack,1,1
foir,1,1
westwood,6,6
topdog,1,1
elementari,9,9
looki,1,1
pizzettebutternut,1,1
mysoooo,1,1
specialgril,1,1
owuld,1,1
cilantroey,1,1
foid,1,1
foie,100,81
lotservic,1,1
stuuufff,1,1
stuffwarm,1,1
foil,41,39
sunw,1,1
lookw,1,1
effeci,1,1
hhhhhuuuugggeee,1,1
childhoodth,1,1
prettymuchvegan,1,1
sunk,3,3
sung,3,3
melnick,3,3
sumo,9,8
allerg,45,41
selectioncheap,1,1
vibey,1,1
effect,95,93
frenchcajun,1,1
itout,1,1
allanyway,1,1
tastetheir,2,2
appreci,577,552
wilford,1,1
baconalmost,1,1
everthumb,1,1
presentedlov,1,1
diningincom,2,2
dupar,3,3
remark,103,103
scallion,170,147
aiolithat,1,1
verament,1,1
kitchenplus,1,1
grossanoth,2,2
monstrosoti,1,1
goingz,1,1
paoch,1,1
lobsterrol,3,1
burritobulgogi,1,1
visitnow,2,2
dinnerlov,1,1
supa,1,1
smoquebbqcommanifesto,1,1
moneytim,1,1
ohsobusi,1,1
drafti,8,7
NUMsalsa,1,1
oldbad,1,1
comfortingth,2,2
drafta,1,1
brisketalso,1,1
suoy,1,1
extent,18,18
extenu,1,1
sush,2,2
calient,3,3
extens,254,248
sitin,1,1
dressi,16,16
andsuck,1,1
susi,1,1
fond,90,90
sitit,2,2
seatingit,2,2
fomo,1,1
favorit,4204,3641
waittaco,1,1
surf,20,20
aa,6,6
loveanoth,1,1
ab,2,2
surg,3,3
ac,67,55
reaaaallli,1,1
sure,4199,3719
ad,793,739
af,1,1
ag,2,2
ah,82,72
sura,1,1
ai,119,116
papardell,5,5
aj,4,4
ak,9,9
al,630,524
mindspac,1,1
ao,1,1
panic,10,10
neglectedplac,1,1
ap,7,7
suri,2,2
extend,58,57
manger,8,8
aq,1,1
fold,27,25
ar,1,1
goodport,4,4
nonfussi,1,1
au,114,101
itnow,5,5
aw,271,258
itnot,1,1
ax,1,1
folk,394,359
ay,5,5
az,10,10
goodpork,1,1
samwich,1,1
unagii,1,1
ba,10,9
loyalist,2,2
bb,21,21
bc,364,292
highrent,1,1
wellbrais,1,1
bf,632,442
bg,53,36
bh,3,3
bi,104,73
bj,2,2
bk,4,4
sensationanyway,1,1
bm,1,1
bo,43,22
delapit,1,1
bp,1,1
br,3,3
bs,50,47
riptid,2,1
bt,16,15
bu,9,8
bw,6,6
fool,161,153
shoestr,5,5
roomth,8,8
sitll,1,1
bz,1,1
hoursth,7,7
panel,25,25
ca,3540,3191
foot,109,105
cb,5,4
cc,13,11
lonni,2,1
apprent,1,1
cd,1,1
ce,2,2
cg,1,1
